sourceChromosome,sourceStart,sourceEnd,targetChromosome,targetStart,targetEnd,type,value
"1",001,002,"1",101,102,L,100
"1",101,102,"1",201,202,L,100
"1",201,202,"1",301,302,L,100
"1",301,302,"1",401,402,L,100
"1",401,402,"1",501,502,L,100
"1",501,502,"1",601,602,L,100
"1",601,602,"1",701,702,L,100
"1",701,702,"1",801,802,L,100
"1",801,802,"1",901,902,L,100
"1",901,902,"1",1001,1002,L,100
"1",901,902,"1",1101,1102,L,100
"1",901,902,"1",1201,1202,L,100
"1",801,802,"1",1301,1302,L,100
"1",1301,1302,"1",1401,1402,L,100
"1",1301,1302,"1",1501,1502,L,100
"1",1301,1302,"1",1601,1602,L,100
"1",801,802,"1",1701,1702,L,100
"1",1701,1702,"1",1801,1802,L,100
"1",1701,1702,"1",1901,1902,L,100
"1",1701,1702,"1",2001,2002,L,100
"1",701,702,"1",2101,2102,L,100
"1",2101,2102,"1",2201,2202,L,100
"1",2201,2202,"1",2301,2302,L,100
"1",2201,2202,"1",2401,2402,L,100
"1",2201,2202,"1",2501,2502,L,100
"1",2101,2102,"1",2601,2602,L,100
"1",2601,2602,"1",2701,2702,L,100
"1",2601,2602,"1",2801,2802,L,100
"1",2601,2602,"1",2901,2902,L,100
"1",2101,2102,"1",3001,3002,L,100
"1",3001,3002,"1",3101,3102,L,100
"1",3001,3002,"1",3201,3202,L,100
"1",3001,3002,"1",3301,3302,L,100
"1",701,702,"1",3401,3402,L,100
"1",3401,3402,"1",3501,3502,L,100
"1",3501,3502,"1",3601,3602,L,100
"1",3501,3502,"1",3701,3702,L,100
"1",3501,3502,"1",3801,3802,L,100
"1",3401,3402,"1",3901,3902,L,100
"1",3901,3902,"1",4001,4002,L,100
"1",3901,3902,"1",4101,4102,L,100
"1",3901,3902,"1",4201,4202,L,100
"1",3401,3402,"1",4301,4302,L,100
"1",4301,4302,"1",4401,4402,L,100
"1",4301,4302,"1",4501,4502,L,100
"1",4301,4302,"1",4601,4602,L,100
"1",601,602,"1",4701,4702,L,100
"1",4701,4702,"1",4801,4802,L,100
"1",4801,4802,"1",4901,4902,L,100
"1",4901,4902,"1",5001,5002,L,100
"1",4901,4902,"1",5101,5102,L,100
"1",4901,4902,"1",5201,5202,L,100
"1",4801,4802,"1",5301,5302,L,100
"1",5301,5302,"1",5401,5402,L,100
"1",5301,5302,"1",5501,5502,L,100
"1",5301,5302,"1",5601,5602,L,100
"1",4801,4802,"1",5701,5702,L,100
"1",5701,5702,"1",5801,5802,L,100
"1",5701,5702,"1",5901,5902,L,100
"1",5701,5702,"1",6001,6002,L,100
"1",4701,4702,"1",6101,6102,L,100
"1",6101,6102,"1",6201,6202,L,100
"1",6201,6202,"1",6301,6302,L,100
"1",6201,6202,"1",6401,6402,L,100
"1",6201,6202,"1",6501,6502,L,100
"1",6101,6102,"1",6601,6602,L,100
"1",6601,6602,"1",6701,6702,L,100
"1",6601,6602,"1",6801,6802,L,100
"1",6601,6602,"1",6901,6902,L,100
"1",6101,6102,"1",7001,7002,L,100
"1",7001,7002,"1",7101,7102,L,100
"1",7001,7002,"1",7201,7202,L,100
"1",7001,7002,"1",7301,7302,L,100
"1",4701,4702,"1",7401,7402,L,100
"1",7401,7402,"1",7501,7502,L,100
"1",7501,7502,"1",7601,7602,L,100
"1",7501,7502,"1",7701,7702,L,100
"1",7501,7502,"1",7801,7802,L,100
"1",7401,7402,"1",7901,7902,L,100
"1",7901,7902,"1",8001,8002,L,100
"1",7901,7902,"1",8101,8102,L,100
"1",7901,7902,"1",8201,8202,L,100
"1",7401,7402,"1",8301,8302,L,100
"1",8301,8302,"1",8401,8402,L,100
"1",8301,8302,"1",8501,8502,L,100
"1",8301,8302,"1",8601,8602,L,100
"1",601,602,"1",8701,8702,L,100
"1",8701,8702,"1",8801,8802,L,100
"1",8801,8802,"1",8901,8902,L,100
"1",8901,8902,"1",9001,9002,L,100
"1",8901,8902,"1",9101,9102,L,100
"1",8901,8902,"1",9201,9202,L,100
"1",8801,8802,"1",9301,9302,L,100
"1",9301,9302,"1",9401,9402,L,100
"1",9301,9302,"1",9501,9502,L,100
"1",9301,9302,"1",9601,9602,L,100
"1",8801,8802,"1",9701,9702,L,100
"1",9701,9702,"1",9801,9802,L,100
"1",9701,9702,"1",9901,9902,L,100
"1",9701,9702,"1",10001,10002,L,100
"1",8701,8702,"1",10101,10102,L,100
"1",10101,10102,"1",10201,10202,L,100
"1",10201,10202,"1",10301,10302,L,100
"1",10201,10202,"1",10401,10402,L,100
"1",10201,10202,"1",10501,10502,L,100
"1",10101,10102,"1",10601,10602,L,100
"1",10601,10602,"1",10701,10702,L,100
"1",10601,10602,"1",10801,10802,L,100
"1",10601,10602,"1",10901,10902,L,100
"1",10101,10102,"1",11001,11002,L,100
"1",11001,11002,"1",11101,11102,L,100
"1",11001,11002,"1",11201,11202,L,100
"1",11001,11002,"1",11301,11302,L,100
"1",8701,8702,"1",11401,11402,L,100
"1",11401,11402,"1",11501,11502,L,100
"1",11501,11502,"1",11601,11602,L,100
"1",11501,11502,"1",11701,11702,L,100
"1",11501,11502,"1",11801,11802,L,100
"1",11401,11402,"1",11901,11902,L,100
"1",11901,11902,"1",12001,12002,L,100
"1",11901,11902,"1",12101,12102,L,100
"1",11901,11902,"1",12201,12202,L,100
"1",11401,11402,"1",12301,12302,L,100
"1",12301,12302,"1",12401,12402,L,100
"1",12301,12302,"1",12501,12502,L,100
"1",12301,12302,"1",12601,12602,L,100
"1",501,502,"1",12701,12702,L,100
"1",12701,12702,"1",12801,12802,L,100
"1",12801,12802,"1",12901,12902,L,100
"1",12901,12902,"1",13001,13002,L,100
"1",13001,13002,"1",13101,13102,L,100
"1",13001,13002,"1",13201,13202,L,100
"1",13001,13002,"1",13301,13302,L,100
"1",12901,12902,"1",13401,13402,L,100
"1",13401,13402,"1",13501,13502,L,100
"1",13401,13402,"1",13601,13602,L,100
"1",13401,13402,"1",13701,13702,L,100
"1",12901,12902,"1",13801,13802,L,100
"1",13801,13802,"1",13901,13902,L,100
"1",13801,13802,"1",14001,14002,L,100
"1",13801,13802,"1",14101,14102,L,100
"1",12801,12802,"1",14201,14202,L,100
"1",14201,14202,"1",14301,14302,L,100
"1",14301,14302,"1",14401,14402,L,100
"1",14301,14302,"1",14501,14502,L,100
"1",14301,14302,"1",14601,14602,L,100
"1",14201,14202,"1",14701,14702,L,100
"1",14701,14702,"1",14801,14802,L,100
"1",14701,14702,"1",14901,14902,L,100
"1",14701,14702,"1",15001,15002,L,100
"1",14201,14202,"1",15101,15102,L,100
"1",15101,15102,"1",15201,15202,L,100
"1",15101,15102,"1",15301,15302,L,100
"1",15101,15102,"1",15401,15402,L,100
"1",12801,12802,"1",15501,15502,L,100
"1",15501,15502,"1",15601,15602,L,100
"1",15601,15602,"1",15701,15702,L,100
"1",15601,15602,"1",15801,15802,L,100
"1",15601,15602,"1",15901,15902,L,100
"1",15501,15502,"1",16001,16002,L,100
"1",16001,16002,"1",16101,16102,L,100
"1",16001,16002,"1",16201,16202,L,100
"1",16001,16002,"1",16301,16302,L,100
"1",15501,15502,"1",16401,16402,L,100
"1",16401,16402,"1",16501,16502,L,100
"1",16401,16402,"1",16601,16602,L,100
"1",16401,16402,"1",16701,16702,L,100
"1",12701,12702,"1",16801,16802,L,100
"1",16801,16802,"1",16901,16902,L,100
"1",16901,16902,"1",17001,17002,L,100
"1",17001,17002,"1",17101,17102,L,100
"1",17001,17002,"1",17201,17202,L,100
"1",17001,17002,"1",17301,17302,L,100
"1",16901,16902,"1",17401,17402,L,100
"1",17401,17402,"1",17501,17502,L,100
"1",17401,17402,"1",17601,17602,L,100
"1",17401,17402,"1",17701,17702,L,100
"1",16901,16902,"1",17801,17802,L,100
"1",17801,17802,"1",17901,17902,L,100
"1",17801,17802,"1",18001,18002,L,100
"1",17801,17802,"1",18101,18102,L,100
"1",16801,16802,"1",18201,18202,L,100
"1",18201,18202,"1",18301,18302,L,100
"1",18301,18302,"1",18401,18402,L,100
"1",18301,18302,"1",18501,18502,L,100
"1",18301,18302,"1",18601,18602,L,100
"1",18201,18202,"1",18701,18702,L,100
"1",18701,18702,"1",18801,18802,L,100
"1",18701,18702,"1",18901,18902,L,100
"1",18701,18702,"1",19001,19002,L,100
"1",18201,18202,"1",19101,19102,L,100
"1",19101,19102,"1",19201,19202,L,100
"1",19101,19102,"1",19301,19302,L,100
"1",19101,19102,"1",19401,19402,L,100
"1",16801,16802,"1",19501,19502,L,100
"1",19501,19502,"1",19601,19602,L,100
"1",19601,19602,"1",19701,19702,L,100
"1",19601,19602,"1",19801,19802,L,100
"1",19601,19602,"1",19901,19902,L,100
"1",19501,19502,"1",20001,20002,L,100
"1",20001,20002,"1",20101,20102,L,100
"1",20001,20002,"1",20201,20202,L,100
"1",20001,20002,"1",20301,20302,L,100
"1",19501,19502,"1",20401,20402,L,100
"1",20401,20402,"1",20501,20502,L,100
"1",20401,20402,"1",20601,20602,L,100
"1",20401,20402,"1",20701,20702,L,100
"1",12701,12702,"1",20801,20802,L,100
"1",20801,20802,"1",20901,20902,L,100
"1",20901,20902,"1",21001,21002,L,100
"1",21001,21002,"1",21101,21102,L,100
"1",21001,21002,"1",21201,21202,L,100
"1",21001,21002,"1",21301,21302,L,100
"1",20901,20902,"1",21401,21402,L,100
"1",21401,21402,"1",21501,21502,L,100
"1",21401,21402,"1",21601,21602,L,100
"1",21401,21402,"1",21701,21702,L,100
"1",20901,20902,"1",21801,21802,L,100
"1",21801,21802,"1",21901,21902,L,100
"1",21801,21802,"1",22001,22002,L,100
"1",21801,21802,"1",22101,22102,L,100
"1",20801,20802,"1",22201,22202,L,100
"1",22201,22202,"1",22301,22302,L,100
"1",22301,22302,"1",22401,22402,L,100
"1",22301,22302,"1",22501,22502,L,100
"1",22301,22302,"1",22601,22602,L,100
"1",22201,22202,"1",22701,22702,L,100
"1",22701,22702,"1",22801,22802,L,100
"1",22701,22702,"1",22901,22902,L,100
"1",22701,22702,"1",23001,23002,L,100
"1",22201,22202,"1",23101,23102,L,100
"1",23101,23102,"1",23201,23202,L,100
